experiment_id,nr_of_subjects,is_control,questionnaire_applied_after,reference_of_experience,subject_health,quest_abbreviation,pubmed_id,doi,main_author,date_published,reference_text,abstract_text,paper_link,dosage_quantity,dosage_unit,info_induction,induction_method,injection_method,Auditory_Alterations_mean,Auditory_Alterations_std,Dread_of_Ego_Dissolution_mean,Dread_of_Ego_Dissolution_std,Oceanic_Boundlessness_mean,Oceanic_Boundlessness_std,Vigilance_Reduction_mean,Vigilance_Reduction_std,Visionary_Restructuralization_mean,Visionary_Restructuralization_std
42,54,0,NULL,NULL,"healthy ",5D-ASC(3D-OAV+2D),11314678,10.1007/s002130000648,"Liechti ME","2001 Mar 1","Liechti, M.E., Gamma, A. & Vollenweider, F.X. (2001) Gender differences in the subjective effects of MDMA. Psychopharmacology, 2, 161-8.","RATIONALE: 3.4-Methylenedioxymethamphetamine (MDMA) mainly releases serotonin
(5-HT) and is contained in the recreational drug Ecstasy. 5-HT is known to play
an important role in mood and anxiety disorders, for which there is a female
preponderance. To date, there are no systematic data on gender differences in the
subjective effects of MDMA.
OBJECTIVES: The present work analyzed the pooled data from three controlled
studies on the psychological and physiological effects of MDMA in healthy
volunteers with no or minimal MDMA experience. A particular focus of the analyses
were possible gender differences.
METHODS: A total of 74 subjects (54 male, 20 female) participated in all three
studies. MDMA in oral doses ranging from 70-150 mg (1.35-1.8 mg/kg) was
administered under double-blind placebo-controlled conditions. Subjective peak
changes were assessed by standardized psychometric rating scales. Physiological
measures were blood pressure, heart rate, and peripheral body temperature.
Adverse drug effects were assessed during the experimental session and after 24
h.
RESULTS: Psychoactive effects of MDMA were more intense in women than in men.
Women especially had higher scores for MDMA-induced perceptual changes, thought
disturbances, and fear of loss of body control. The dose of MDMA positively
correlated with the intensity of perceptual changes in women. Acute adverse
effects and sequelae were also more frequent in female than in male subjects. In 
contrast, men showed higher increases in blood pressure than woman.
CONCLUSIONS: The fact that equal doses of MDMA per kilogram body weight produce
stronger responses in women compared to men is consistent with an increased
susceptibility of women to the 5-HT-releasing effects of MDMA. Our results also
indicate that increasing doses of MDMA produce more hallucinogen-like perceptual 
alterations, particularly in women.",NULL,1.35-1.8,"mg/kg body weight","""Subjects received a single oral dose of MDMA [mean ± SD: 108±16 mg (1.6±0.12 mg/kg), range: 70–150 mg (1.35–1.8 mg/kg)]""; ""Subjective experience during the peak drug effect (105 and 120 min after MDMA or placebo intake)""",MDMA,"capsule (oral)",NULL,NULL,8.05,11.98,22.63,18.96,NULL,NULL,9.11,9.77
44,20,0,NULL,NULL,"healthy ",5D-ASC(3D-OAV+2D),11314678,10.1007/s002130000648,"Liechti ME","2001 Mar 1","Liechti, M.E., Gamma, A. & Vollenweider, F.X. (2001) Gender differences in the subjective effects of MDMA. Psychopharmacology, 2, 161-8.","RATIONALE: 3.4-Methylenedioxymethamphetamine (MDMA) mainly releases serotonin
(5-HT) and is contained in the recreational drug Ecstasy. 5-HT is known to play
an important role in mood and anxiety disorders, for which there is a female
preponderance. To date, there are no systematic data on gender differences in the
subjective effects of MDMA.
OBJECTIVES: The present work analyzed the pooled data from three controlled
studies on the psychological and physiological effects of MDMA in healthy
volunteers with no or minimal MDMA experience. A particular focus of the analyses
were possible gender differences.
METHODS: A total of 74 subjects (54 male, 20 female) participated in all three
studies. MDMA in oral doses ranging from 70-150 mg (1.35-1.8 mg/kg) was
administered under double-blind placebo-controlled conditions. Subjective peak
changes were assessed by standardized psychometric rating scales. Physiological
measures were blood pressure, heart rate, and peripheral body temperature.
Adverse drug effects were assessed during the experimental session and after 24
h.
RESULTS: Psychoactive effects of MDMA were more intense in women than in men.
Women especially had higher scores for MDMA-induced perceptual changes, thought
disturbances, and fear of loss of body control. The dose of MDMA positively
correlated with the intensity of perceptual changes in women. Acute adverse
effects and sequelae were also more frequent in female than in male subjects. In 
contrast, men showed higher increases in blood pressure than woman.
CONCLUSIONS: The fact that equal doses of MDMA per kilogram body weight produce
stronger responses in women compared to men is consistent with an increased
susceptibility of women to the 5-HT-releasing effects of MDMA. Our results also
indicate that increasing doses of MDMA produce more hallucinogen-like perceptual 
alterations, particularly in women.",NULL,1.35-1.8,"mg/kg body weight","""Subjects received a single oral dose of MDMA [mean ± SD: 108±16 mg (1.6±0.12 mg/kg), range: 70–150 mg (1.35–1.8 mg/kg)]""; ""Subjective experience during the peak drug effect (105 and 120 min after MDMA or placebo intake)""",MDMA,"capsule (oral)",NULL,NULL,15.07,13.42,37.59,21.69,NULL,NULL,23.35,21.06
45,16,0,NULL,NULL,healthy,5D-ASC(3D-OAV+2D),11559960,10.1002/hbm.1049,"Frei E","2001 Nov","Frei, E., Gamma, A., Pascual-Marqui, R., Lehmann, D., Hell, D. & Vollenweider, F.X. (2001) Localization of MDMA-induced brain activity in healthy volunteers using low resolution brain electromagnetic tomography (LORETA). Human brain mapping, 3, 152-65.","3,4-Methylenedioxymethamphetamine (MDMA; 'Ecstasy') is a psychostimulant drug
producing heightened mood and facilitated social communication. In animal
studies, MDMA effects are primarily mediated by serotonin (5-HT), but also by
dopamine (DA) and possibly noradrenaline (NA). In humans, however, the
neurochemical and neurophysiological basis of acute MDMA effects remains unknown.
The distribution of active neuronal populations after administration of a single 
dose of MDMA (1.7 mg/kg) or placebo was studied in 16 healthy, MDMA-naÃ¯ve
volunteers. Thirty-one-channel scalp EEGs during resting with open and closed
eyes was analyzed in the different EEG frequency bands. Scalp maps of power
showed significant, global differences between MDMA and placebo in both eye
conditions and all frequency bands. Low resolution brain electromagnetic
tomography (LORETA) was used to compute 3D, functional images of electric
neuronal activity from the scalp EEG data. MDMA produced a widespread decrease of
slow and medium frequency activity and an increase of fast frequency activity in 
the anterior temporal and posterior orbital cortex, concomitant with a marked
enhancement of mood, emotional arousal and increased extraversion. This
activation of frontotemporal areas indicates that the observed enhancement of
mood and possibly the increased extroversion rely on modulation of limbic
orbitofrontal and anterotemporal structures known to be involved in emotional
processes. Comparison of the MDMA-specific EEG pattern with that of various 5-HT,
DA, and NA agonists indicates that serotonin, noradrenaline, and, to a lesser
degree, dopamine, contribute to the effects of MDMA on EEG, and possibly also on 
mood and behavior.",NULL,42917,"mg/kg body weight","""After electrode application, subjects received MDMA (1.7 mg/kg body weight) or placebo...""",MDMA,"capsule (oral)",NULL,NULL,10.19,9.65,32.67,14.47,NULL,NULL,19.52,11.88
47,20,0,"on the evening after each study session",NULL,NULL,5D-ASC(3D-OAV+2D),11904134,10.1016/S0006-3223(01)01242-2,"Umbricht D","2002 Mar 1","Umbricht, D., Koller, R., Vollenweider, F.X. & Schmid, L. (2002) Mismatch negativity predicts psychotic experiences induced by NMDA receptor antagonist in healthy volunteers. Biological psychiatry, 5, 400-6.","BACKGROUND: Previous studies indicate that mismatch negativity (MMN)-a
preattentive auditory event-related potential (ERP)-depends on NMDA receptor
(NMDAR) functioning. To explore if the strength of MMN generation reflects the
functional condition of the NMDAR system in healthy volunteers, we analyzed
correlations between MMN recorded before drug administration and subsequent
responses to the NMDAR antagonist ketamine or the 5-HT2a agonist psilocybin.
METHODS: In two separate studies, MMN was recorded to both frequency and duration
deviants prior to administration of ketamine or psilocybin. Behavioral and
subjective effects of ketamine and psilocybin were assessed with the Brief
Psychiatric Rating Scale and the OAV Scale-a rating scale developed to measure
altered states of consciousness. Correlations between ERP amplitudes (MMN, N1,
and P2) and drug-induced effects were calculated in each study group and compared
between them.
RESULTS: Smaller MMN to both pitch and duration deviants was significantly
correlated to stronger effects during ketamine, but not psilocybin
administration. No significant correlations were observed for N1 and P2.
CONCLUSIONS: Smaller MMN indicates a NMDAR system that is more vulnerable to
disruption by the NMDAR antagonist ketamine. MMN generation appears to index the 
functional state of NMDAR-mediated neurotransmission even in subjects who do not 
demonstrate any psychopathology.",NULL,0.24,"mg/kg body weight","a bolus dose of 0.24 mg/kg was given over 5 min, then
a maintenance ketamine infusion at 0.9 mg/kg/hour was started
after a pause of 5 min",Ketamine,i.v.,NULL,NULL,30.71,19.43,34.74,18.93,NULL,NULL,37.39,16.22
48,16,0,"on the evening after each study session",NULL,NULL,5D-ASC(3D-OAV+2D),11904134,10.1016/S0006-3223(01)01242-2,"Umbricht D","2002 Mar 1","Umbricht, D., Koller, R., Vollenweider, F.X. & Schmid, L. (2002) Mismatch negativity predicts psychotic experiences induced by NMDA receptor antagonist in healthy volunteers. Biological psychiatry, 5, 400-6.","BACKGROUND: Previous studies indicate that mismatch negativity (MMN)-a
preattentive auditory event-related potential (ERP)-depends on NMDA receptor
(NMDAR) functioning. To explore if the strength of MMN generation reflects the
functional condition of the NMDAR system in healthy volunteers, we analyzed
correlations between MMN recorded before drug administration and subsequent
responses to the NMDAR antagonist ketamine or the 5-HT2a agonist psilocybin.
METHODS: In two separate studies, MMN was recorded to both frequency and duration
deviants prior to administration of ketamine or psilocybin. Behavioral and
subjective effects of ketamine and psilocybin were assessed with the Brief
Psychiatric Rating Scale and the OAV Scale-a rating scale developed to measure
altered states of consciousness. Correlations between ERP amplitudes (MMN, N1,
and P2) and drug-induced effects were calculated in each study group and compared
between them.
RESULTS: Smaller MMN to both pitch and duration deviants was significantly
correlated to stronger effects during ketamine, but not psilocybin
administration. No significant correlations were observed for N1 and P2.
CONCLUSIONS: Smaller MMN indicates a NMDAR system that is more vulnerable to
disruption by the NMDAR antagonist ketamine. MMN generation appears to index the 
functional state of NMDAR-mediated neurotransmission even in subjects who do not 
demonstrate any psychopathology.",NULL,0.28,"mg/kg body weight",NULL,Psilocybin,"capsule (oral)",NULL,NULL,25.86,19.37,32.59,21.59,NULL,NULL,39.06,20.06
62,12,0,NULL,NULL,NULL,5D-ASC(3D-OAV+2D),12680739,10.1177/0269881103017001698,"Passie T","2003 Mar","Passie, T., Karst, M., Borsutzky, M., Wiese, B., Emrich, H.M. & Schneider, U. (2003) Effects of different subanaesthetic doses of (S)-ketamine on psychopathology and binocular depth inversion in man. Journal of psychopharmacology (Oxford, England), 1, 51-6.","The role of the N-methyl-D-aspartate (NMDA) neurotransmitter system in relation
to psychoses is not completely understood, but represent a challenge in
neurobiological research. The psychotic states induced by NMDA antagonists such
as phencyclidine and ketamine have been described as being most similar to
schizophrenia and the NMDA system has been implicated in the pathogenesis of
schizophrenia. Binocular depth inversion, an illusion of visual perception, has
been shown to be impaired in psychotic and psychotomimetic states in healthy and 
schizophrenic subjects. In this study, pictures of natural and artificial objects
were presented stereoscopically to 12 healthy male volunteers and depth
perception assessed using an operationalized method. The effects of the
psychotomimetic S-enantiomer of the anaesthetic ketamine in two different
subanaesthetic doses were compared with those of a placebo. In spite of dose
dependence and grave subjective and significant objective psychopathology, no
significant impairment of binocular depth perception was found with (S)-ketamine.
Implications related to memory function, perceptogenesis and 'bottom-up'
processing in ketamine model psychosis and schizophrenia are discussed.",NULL,0.003,mg/min./kg,"A peripheral port system was initially inserted into a cubital vein. Subjects received placebo or S-ketamine by a continuous intravenous infusion using a computer-controlled system to obtain constant plasma ketamine levels throughout the experiment. .. The (S)-ketamine was diluted in 50 ml NaCl 0.9% solution. Intravenous application was started with a bolus of 5mg over 5 min for the low- and high-dose groups. Subsequently, the permament infusion with 0.003 mg/min./kg (low-dose), respectively, 0.005 mg/min./kg (high-dose) was started. NaCl 0.9% solution was used as placebo.","Ketamine (S-Ketamine)",i.v.,0.26,5.33,8.16,10.04,13.85,26.74,28.93,18.30,3.30,6.29
63,12,0,NULL,NULL,NULL,5D-ASC(3D-OAV+2D),12680739,10.1177/0269881103017001698,"Passie T","2003 Mar","Passie, T., Karst, M., Borsutzky, M., Wiese, B., Emrich, H.M. & Schneider, U. (2003) Effects of different subanaesthetic doses of (S)-ketamine on psychopathology and binocular depth inversion in man. Journal of psychopharmacology (Oxford, England), 1, 51-6.","The role of the N-methyl-D-aspartate (NMDA) neurotransmitter system in relation
to psychoses is not completely understood, but represent a challenge in
neurobiological research. The psychotic states induced by NMDA antagonists such
as phencyclidine and ketamine have been described as being most similar to
schizophrenia and the NMDA system has been implicated in the pathogenesis of
schizophrenia. Binocular depth inversion, an illusion of visual perception, has
been shown to be impaired in psychotic and psychotomimetic states in healthy and 
schizophrenic subjects. In this study, pictures of natural and artificial objects
were presented stereoscopically to 12 healthy male volunteers and depth
perception assessed using an operationalized method. The effects of the
psychotomimetic S-enantiomer of the anaesthetic ketamine in two different
subanaesthetic doses were compared with those of a placebo. In spite of dose
dependence and grave subjective and significant objective psychopathology, no
significant impairment of binocular depth perception was found with (S)-ketamine.
Implications related to memory function, perceptogenesis and 'bottom-up'
processing in ketamine model psychosis and schizophrenia are discussed.",NULL,0.005,mg/min./kg,"A peripheral port system was initially inserted into a cubital vein. Subjects received placebo or S-ketamine by a continuous intravenous infusion using a computer-controlled system to obtain constant plasma ketamine levels throughout the experiment. .. The (S)-ketamine was diluted in 50 ml NaCl 0.9% solution. Intravenous application was started with a bolus of 5mg over 5 min for the low- and high-dose groups. Subsequently, the permament infusion with 0.003 mg/min./kg (low-dose), respectively, 0.005 mg/min./kg (high-dose) was started. NaCl 0.9% solution was used as placebo.","Ketamine (S-Ketamine)",i.v.,4.15,5.69,18.73,16.39,20.28,31.37,54.80,21.66,6.40,10.27
66,8,0,150,NULL,healthy,5D-ASC(3D-OAV+2D),14615876,10.1007/s00213-003-1640-6,"Hasler F","2004 Mar","Hasler, F., Grimberg, U., Benz, M.A., Huber, T. & Vollenweider, F.X. (2004) Acute psychological and physiological effects of psilocybin in healthy humans: a double-blind, placebo-controlled dose-effect study. Psychopharmacology, 2, 145-56.","RATIONALE: Serotonin (5-Hydroxytryptamine, 5-HT) receptors play an important role
in perception, affect regulation and attention. Pharmacological challenge with
the 5-HT(2A) agonist psilocybin (PY) is useful in studying the neurobiological
basis of cognition and consciousness.
OBJECTIVE: Investigation of dose-dependent effects of PY on psycho(patho)logical 
and physiological parameters.
METHODS: Eight subjects received placebo (PL), and 45 (""very low dose, VLD""), 115
(""low dose, LD""), 215 (""medium dose, MD""), and 315 (""high dose, HD"") microg/kg
body weight PY. The ""Altered States of Consciousness Rating Scale"" (5D-ASC), the 
""Frankfurt Attention Inventory"" (FAIR), and the ""Adjective Mood Rating Scale""
(AMRS) were used to assess the effects of PY on psycho(patho)logical core
dimensions, attention, and mood. A 24-h electrocardiogram (EKG) was recorded and 
blood pressure was measured. Plasma concentrations of thyroid-stimulating hormone
(TSH), prolactin (PRL), cortisol (CORT), adrenocorticotropic hormone (ACTH), and 
standard clinical chemical parameters were determined.
RESULTS: PY dose dependently increased scores of all 5D-ASC core dimensions. Only
one subject reacted with transient anxiety to HD PY. Compared with PL, MD and HD 
PY led to a 50% reduction of performance in the FAIR test. ""General
inactivation"", ""emotional excitability"", and ""dreaminess"" were the only domains
of the AMRS showing increased scores following MD and HD PY. The mean arterial
blood pressure (MAP) was moderately elevated only 60 min following administration
of HD PY. Neither EKG nor body temperature was affected by any dose of PY. TSH,
ACTH, and CORT plasma levels were elevated during peak effects of HD PY, whereas 
PRL plasma levels were increased following MD and HD PY.
CONCLUSION: PY affects core dimensions of altered states of consciousness and
physiological parameters in a dose-dependent manner. Our study provided no cause 
for concern that PY is hazardous with respect to somatic health.",NULL,45,"µg/kg body weight","PY (psilocybin) capsules (1 mg and 5 mg) were prepared at the Pharmacy of the Cantonal Hospital of Aarau, Switzerland. PY (psilocybin) and lactose placebo were administered in gelatin capsules of identical appearance. PY dosages were as follows: very low dose (VLD) = 45 µg/kg body weight; low dose (LD) = 115 µg/kg, medium dose (MD) = 215 µg/kg; and high dose (HD) = 315 µg/kg. Our own investigations recealed that identical doses of PY relative to body weight cause comparable plasma concentration-time profiles of PI (psilocin). We therefore preferred to administer doses relative to body weight rather than absolute amounts of PY. To monimize confounding effects of circadian rythms on hormone levels, drug dosing took place at approximately the same time. In all female volunteers, the experiments were performed during the early follicular phase of their menstrual cycles. ",Psilocybin,"capsule (oral)",1.16,0.01,0.13,0.82,1.79,2.99,3.21,3.68,1.32,3.45
67,8,0,300,NULL,healthy,5D-ASC(3D-OAV+2D),14615876,10.1007/s00213-003-1640-6,"Hasler F","2004 Mar","Hasler, F., Grimberg, U., Benz, M.A., Huber, T. & Vollenweider, F.X. (2004) Acute psychological and physiological effects of psilocybin in healthy humans: a double-blind, placebo-controlled dose-effect study. Psychopharmacology, 2, 145-56.","RATIONALE: Serotonin (5-Hydroxytryptamine, 5-HT) receptors play an important role
in perception, affect regulation and attention. Pharmacological challenge with
the 5-HT(2A) agonist psilocybin (PY) is useful in studying the neurobiological
basis of cognition and consciousness.
OBJECTIVE: Investigation of dose-dependent effects of PY on psycho(patho)logical 
and physiological parameters.
METHODS: Eight subjects received placebo (PL), and 45 (""very low dose, VLD""), 115
(""low dose, LD""), 215 (""medium dose, MD""), and 315 (""high dose, HD"") microg/kg
body weight PY. The ""Altered States of Consciousness Rating Scale"" (5D-ASC), the 
""Frankfurt Attention Inventory"" (FAIR), and the ""Adjective Mood Rating Scale""
(AMRS) were used to assess the effects of PY on psycho(patho)logical core
dimensions, attention, and mood. A 24-h electrocardiogram (EKG) was recorded and 
blood pressure was measured. Plasma concentrations of thyroid-stimulating hormone
(TSH), prolactin (PRL), cortisol (CORT), adrenocorticotropic hormone (ACTH), and 
standard clinical chemical parameters were determined.
RESULTS: PY dose dependently increased scores of all 5D-ASC core dimensions. Only
one subject reacted with transient anxiety to HD PY. Compared with PL, MD and HD 
PY led to a 50% reduction of performance in the FAIR test. ""General
inactivation"", ""emotional excitability"", and ""dreaminess"" were the only domains
of the AMRS showing increased scores following MD and HD PY. The mean arterial
blood pressure (MAP) was moderately elevated only 60 min following administration
of HD PY. Neither EKG nor body temperature was affected by any dose of PY. TSH,
ACTH, and CORT plasma levels were elevated during peak effects of HD PY, whereas 
PRL plasma levels were increased following MD and HD PY.
CONCLUSION: PY affects core dimensions of altered states of consciousness and
physiological parameters in a dose-dependent manner. Our study provided no cause 
for concern that PY is hazardous with respect to somatic health.",NULL,45,"µg/kg body weight","PY (psilocybin) capsules (1 mg and 5 mg) were prepared at the Pharmacy of the Cantonal Hospital of Aarau, Switzerland. PY (psilocybin) and lactose placebo were administered in gelatin capsules of identical appearance. PY dosages were as follows: very low dose (VLD) = 45 µg/kg body weight; low dose (LD) = 115 µg/kg, medium dose (MD) = 215 µg/kg; and high dose (HD) = 315 µg/kg. Our own investigations recealed that identical doses of PY relative to body weight cause comparable plasma concentration-time profiles of PI (psilocin). We therefore preferred to administer doses relative to body weight rather than absolute amounts of PY. To monimize confounding effects of circadian rythms on hormone levels, drug dosing took place at approximately the same time. In all female volunteers, the experiments were performed during the early follicular phase of their menstrual cycles. ",Psilocybin,"capsule (oral)",0.97,0.06,0.13,0.39,1.21,3.48,1.83,3.22,0.42,1.30
68,8,0,150,NULL,healthy,5D-ASC(3D-OAV+2D),14615876,10.1007/s00213-003-1640-6,"Hasler F","2004 Mar","Hasler, F., Grimberg, U., Benz, M.A., Huber, T. & Vollenweider, F.X. (2004) Acute psychological and physiological effects of psilocybin in healthy humans: a double-blind, placebo-controlled dose-effect study. Psychopharmacology, 2, 145-56.","RATIONALE: Serotonin (5-Hydroxytryptamine, 5-HT) receptors play an important role
in perception, affect regulation and attention. Pharmacological challenge with
the 5-HT(2A) agonist psilocybin (PY) is useful in studying the neurobiological
basis of cognition and consciousness.
OBJECTIVE: Investigation of dose-dependent effects of PY on psycho(patho)logical 
and physiological parameters.
METHODS: Eight subjects received placebo (PL), and 45 (""very low dose, VLD""), 115
(""low dose, LD""), 215 (""medium dose, MD""), and 315 (""high dose, HD"") microg/kg
body weight PY. The ""Altered States of Consciousness Rating Scale"" (5D-ASC), the 
""Frankfurt Attention Inventory"" (FAIR), and the ""Adjective Mood Rating Scale""
(AMRS) were used to assess the effects of PY on psycho(patho)logical core
dimensions, attention, and mood. A 24-h electrocardiogram (EKG) was recorded and 
blood pressure was measured. Plasma concentrations of thyroid-stimulating hormone
(TSH), prolactin (PRL), cortisol (CORT), adrenocorticotropic hormone (ACTH), and 
standard clinical chemical parameters were determined.
RESULTS: PY dose dependently increased scores of all 5D-ASC core dimensions. Only
one subject reacted with transient anxiety to HD PY. Compared with PL, MD and HD 
PY led to a 50% reduction of performance in the FAIR test. ""General
inactivation"", ""emotional excitability"", and ""dreaminess"" were the only domains
of the AMRS showing increased scores following MD and HD PY. The mean arterial
blood pressure (MAP) was moderately elevated only 60 min following administration
of HD PY. Neither EKG nor body temperature was affected by any dose of PY. TSH,
ACTH, and CORT plasma levels were elevated during peak effects of HD PY, whereas 
PRL plasma levels were increased following MD and HD PY.
CONCLUSION: PY affects core dimensions of altered states of consciousness and
physiological parameters in a dose-dependent manner. Our study provided no cause 
for concern that PY is hazardous with respect to somatic health.",NULL,115,"µg/kg body weight","PY (psilocybin) capsules (1 mg and 5 mg) were prepared at the Pharmacy of the Cantonal Hospital of Aarau, Switzerland. PY (psilocybin) and lactose placebo were administered in gelatin capsules of identical appearance. PY dosages were as follows: very low dose (VLD) = 45 µg/kg body weight; low dose (LD) = 115 µg/kg, medium dose (MD) = 215 µg/kg; and high dose (HD) = 315 µg/kg. Our own investigations recealed that identical doses of PY relative to body weight cause comparable plasma concentration-time profiles of PI (psilocin). We therefore preferred to administer doses relative to body weight rather than absolute amounts of PY. To monimize confounding effects of circadian rythms on hormone levels, drug dosing took place at approximately the same time. In all female volunteers, the experiments were performed during the early follicular phase of their menstrual cycles. ",Psilocybin,"capsule (oral)",1.16,0.55,2.76,2.46,12.67,14.56,20.58,18.67,9.18,8.76
69,8,0,300,NULL,healthy,5D-ASC(3D-OAV+2D),14615876,10.1007/s00213-003-1640-6,"Hasler F","2004 Mar","Hasler, F., Grimberg, U., Benz, M.A., Huber, T. & Vollenweider, F.X. (2004) Acute psychological and physiological effects of psilocybin in healthy humans: a double-blind, placebo-controlled dose-effect study. Psychopharmacology, 2, 145-56.","RATIONALE: Serotonin (5-Hydroxytryptamine, 5-HT) receptors play an important role
in perception, affect regulation and attention. Pharmacological challenge with
the 5-HT(2A) agonist psilocybin (PY) is useful in studying the neurobiological
basis of cognition and consciousness.
OBJECTIVE: Investigation of dose-dependent effects of PY on psycho(patho)logical 
and physiological parameters.
METHODS: Eight subjects received placebo (PL), and 45 (""very low dose, VLD""), 115
(""low dose, LD""), 215 (""medium dose, MD""), and 315 (""high dose, HD"") microg/kg
body weight PY. The ""Altered States of Consciousness Rating Scale"" (5D-ASC), the 
""Frankfurt Attention Inventory"" (FAIR), and the ""Adjective Mood Rating Scale""
(AMRS) were used to assess the effects of PY on psycho(patho)logical core
dimensions, attention, and mood. A 24-h electrocardiogram (EKG) was recorded and 
blood pressure was measured. Plasma concentrations of thyroid-stimulating hormone
(TSH), prolactin (PRL), cortisol (CORT), adrenocorticotropic hormone (ACTH), and 
standard clinical chemical parameters were determined.
RESULTS: PY dose dependently increased scores of all 5D-ASC core dimensions. Only
one subject reacted with transient anxiety to HD PY. Compared with PL, MD and HD 
PY led to a 50% reduction of performance in the FAIR test. ""General
inactivation"", ""emotional excitability"", and ""dreaminess"" were the only domains
of the AMRS showing increased scores following MD and HD PY. The mean arterial
blood pressure (MAP) was moderately elevated only 60 min following administration
of HD PY. Neither EKG nor body temperature was affected by any dose of PY. TSH,
ACTH, and CORT plasma levels were elevated during peak effects of HD PY, whereas 
PRL plasma levels were increased following MD and HD PY.
CONCLUSION: PY affects core dimensions of altered states of consciousness and
physiological parameters in a dose-dependent manner. Our study provided no cause 
for concern that PY is hazardous with respect to somatic health.",NULL,115,"µg/kg body weight","PY (psilocybin) capsules (1 mg and 5 mg) were prepared at the Pharmacy of the Cantonal Hospital of Aarau, Switzerland. PY (psilocybin) and lactose placebo were administered in gelatin capsules of identical appearance. PY dosages were as follows: very low dose (VLD) = 45 µg/kg body weight; low dose (LD) = 115 µg/kg, medium dose (MD) = 215 µg/kg; and high dose (HD) = 315 µg/kg. Our own investigations recealed that identical doses of PY relative to body weight cause comparable plasma concentration-time profiles of PI (psilocin). We therefore preferred to administer doses relative to body weight rather than absolute amounts of PY. To monimize confounding effects of circadian rythms on hormone levels, drug dosing took place at approximately the same time. In all female volunteers, the experiments were performed during the early follicular phase of their menstrual cycles. ",Psilocybin,"capsule (oral)",0.97,0.06,1.05,1.64,6.47,7.47,11.07,12.63,2.86,5.18
